# Intermediate CAs in the cabinet that this store does not carry, with the reason.
# Written by certval-store-gen; a change here is a change in what the publisher ships,
# not in this crate.
#
# unrooted     the cabinet includes the CA but not its issuer, so nothing roots it
# unvalidated  a path to a root exists and none validated as of the publication date;
#              an InvalidNotAfterDate here is a CA the publisher shipped already lapsed
unvalidated  Microsoft_EUS-NTC-KEYID-9FBB79AA0F526278BED150929A7171E96A35BEF7_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-KEYID-A0D737290E16CF2AE2BEE7100CF56B2F04C5F043_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-NAMEID-3E6C3B35EF144B0A76CDCFA4080B8B7BCA3CC8EE_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-NAMEID-770E974ACAF0DB9AE67E7B6F5D410F9ACE2FAD65_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-NAMEID-BCD3C503D39E51B0C50489E9228E984A7E63E303_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-NAMEID-D659BCF0AFFF2284AE8AC274C6D91215AED2B62F_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-NTC-NameId-91EBBB7C51FA7F78AA3D44D3425B1D5D23975CAF_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-Ntz-keyid-022cbeed5d77060f2833e9d5376ba8bc308cd9ba  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-Ntz-keyid-03d1cde438ea3db34d943181c1cd517d688062ef  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-Ntz-keyid-ebb2f4e312e6529c4ed0cdb68228580ae5203d45  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-08CBB05CA4510B2A73299184EDDC9CCE42911211  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-1ADB994AB58BE57A0CC9B900E7851E1A43C08660_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-662D8F1CECDFF147A8B6F0EA296AF7F24CADF9CF  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-6B2780800A941CB47EFBCABDD8D1F01D529BF36C  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-9DA5C72CA00BE14B85B3E535C8B07C83E85BDFF6  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-BD963E9AD574AAD94FAD6CBF416DD85B4A559942  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-CF23E59526E446C3FE4F13EB686F624D705305F2_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-STM-KEYID-FB17D70D734870E919C4E8E603975E664E0E43DE  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-amd-keyid-578b68616fe4dbf81ba4053348337b238c0818be  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-amd-keyid-94ae1a5e93b1a4511f01a38cefd45ef1d3b1246e  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-0d9969519b979d32ee4b803165664e9cc86f9d0d  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-18b1af70b93f991972f362556a9a3fbf4bb24e0d  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-263b744d85412bae6e13e94a53c235185ba4eeec_2  Some(PathValidation(InvalidNotAfterDate))
unvalidated  Microsoft_EUS-ifx-keyid-29fe69630e853a4cd3575f84392a9bed2d7e8ca2_2  Some(PathValidation(InvalidNotAfterDate))
